X,Y,Z,Resistivity,Easting,Northing,Profile
63.5,0.0,0.0,170.04,464704.3717948718,5754442.546153846,9
64.5,0.0,0.0,172.54,464704.3461538461,5754441.515384615,9
65.5,0.0,0.0,173.56,464704.3205128205,5754440.484615385,9
66.5,0.0,0.0,174.35,464704.2948717949,5754439.453846154,9
67.5,0.0,0.0,174.12,464704.2692307693,5754438.423076923,9
68.5,0.0,0.0,179.14,464704.2435897436,5754437.392307692,9
69.5,0.0,0.0,178.05,464704.21794871794,5754436.361538461,9
70.5,0.0,0.0,179.39,464704.1923076923,5754435.330769231,9
71.5,0.0,0.0,180.69,464704.1666666667,5754434.3,9
72.5,0.0,0.0,170.73,464704.141025641,5754433.269230769,9
73.5,0.0,0.0,180.54,464704.1153846154,5754432.238461538,9
74.5,0.0,0.0,165.27,464704.08974358975,5754431.207692307,9
75.5,0.0,0.0,166.93,464704.0641025641,5754430.176923077,9
76.5,0.0,0.0,167.1,464704.0384615384,5754429.146153846,9
77.5,0.0,0.0,167.74,464704.0128205128,5754428.115384615,9
78.5,0.0,0.0,171.01,464703.9871794872,5754427.084615384,9
79.5,0.0,0.0,167.01,464703.9615384616,5754426.053846153,9
80.5,0.0,0.0,205.99,464703.9358974359,5754425.023076923,9
81.5,0.0,0.0,161.65,464703.9102564103,5754423.992307693,9
82.5,0.0,0.0,162.63,464703.8846153846,5754422.961538462,9
83.5,0.0,0.0,154.62,464703.858974359,5754421.930769231,9
84.5,0.0,0.0,161.65,464703.8333333333,5754420.9,9
85.5,0.0,0.0,162.19,464703.8076923077,5754419.86923077,9
86.5,0.0,0.0,140.97,464703.78205128206,5754418.838461539,9
87.5,0.0,0.0,142.94,464703.7564102565,5754417.807692308,9
88.5,0.0,0.0,172.26,464703.7307692308,5754416.776923077,9
89.5,0.0,0.0,176.19,464703.7051282051,5754415.746153846,9
90.5,0.0,0.0,153.82,464703.6794871795,5754414.715384616,9
91.5,0.0,0.0,176.08,464703.6538461539,5754413.684615385,9
92.5,0.0,0.0,169.6,464703.6282051282,5754412.653846154,9
93.5,0.0,0.0,169.82,464703.60256410256,5754411.623076923,9
