sondeo,survey,profile_number,order,line_id,point_index,lat,lon,elev_m,TMI_nT,gradient_nT_per_m
1,Survey1,55,3,S1_P55_O3,42,51.7632209,14.336853,73.0,24261.03,-9999.99
1,Survey1,55,3,S1_P55_O3,43,51.763221,14.336852,73.0,17774.99,-9999.99
1,Survey1,55,3,S1_P55_O3,44,51.7632209,14.3368521,73.0,23603.06,-9999.99
1,Survey1,55,3,S1_P55_O3,45,51.7632208,14.3368522,73.0,18358.29,-9999.99
1,Survey1,55,3,S1_P55_O3,46,51.7632208,14.3368522,73.0,18358.29,-9999.99
1,Survey1,55,4,S1_P55_O4,1,51.7630069,14.3368874,79.0,24359.57,-9999.99
1,Survey1,55,4,S1_P55_O4,2,51.7630093,14.3368873,79.0,24774.05,-9999.99
1,Survey1,55,4,S1_P55_O4,3,51.7630118,14.3368873,79.0,24815.92,-9999.99
1,Survey1,55,4,S1_P55_O4,4,51.7630159,14.3368857,79.0,24589.26,-9999.99
1,Survey1,55,4,S1_P55_O4,5,51.7630201,14.3368842,78.0,24607.55,-9999.99
1,Survey1,55,4,S1_P55_O4,6,51.7630258,14.3368837,78.0,24573.83,-9999.99
1,Survey1,55,4,S1_P55_O4,7,51.7630315,14.3368832,79.0,24612.96,-9999.99
1,Survey1,55,4,S1_P55_O4,8,51.7630371,14.3368817,79.0,24720.02,-9999.99
1,Survey1,55,4,S1_P55_O4,9,51.7630427,14.3368802,78.0,24579.15,-9999.99
1,Survey1,55,4,S1_P55_O4,10,51.7630472,14.3368789,78.0,24584.0,-9999.99
1,Survey1,55,4,S1_P55_O4,11,51.7630517,14.3368776,78.0,24765.78,-9999.99
1,Survey1,55,4,S1_P55_O4,12,51.763057,14.3368758,78.0,24620.94,-9999.99
1,Survey1,55,4,S1_P55_O4,13,51.7630623,14.3368741,78.0,24579.42,-9999.99
1,Survey1,55,4,S1_P55_O4,14,51.7630691,14.3368725,78.0,24483.63,-9999.99
1,Survey1,55,4,S1_P55_O4,15,51.763076,14.336871,78.0,24604.45,-9999.99
1,Survey1,55,4,S1_P55_O4,16,51.763084,14.3368696,78.0,24652.49,-9999.99
1,Survey1,55,4,S1_P55_O4,17,51.763092,14.3368682,78.0,24585.96,-9999.99
1,Survey1,55,4,S1_P55_O4,18,51.7630987,14.3368671,78.0,25215.72,-9999.99
1,Survey1,55,4,S1_P55_O4,19,51.7631054,14.336866,78.0,24606.2,-9999.99
1,Survey1,55,4,S1_P55_O4,20,51.7631122,14.3368642,78.0,24779.02,-9999.99
1,Survey1,55,4,S1_P55_O4,21,51.7631191,14.3368625,78.0,24680.24,-9999.99
1,Survey1,55,4,S1_P55_O4,22,51.7631255,14.3368617,78.0,24753.91,-9999.99
1,Survey1,55,4,S1_P55_O4,23,51.7631319,14.3368609,78.0,24682.06,-9999.99
1,Survey1,55,4,S1_P55_O4,24,51.7631382,14.3368595,78.0,24678.58,-9999.99
